PageRank Results
0.005575202994970241   ORD   Chicago Ohare Intl, United States
0.0002057860386747416   TBT   Tabatinga, Brazil
0.00020573743289997812   SXP   Sheldon Point Airport, United States
0.00020571587222163544   IXE   Mangalore, India
0.00020555106297159414   WWT   Newtok Airport, United States
0.00020533359290900762   JUV   Upernavik Airport, Greenland
0.00020474692571620455   JHG   Jinghong, China
0.00020442430601543584   ABL   Ambler Airport, United States
0.00020438759088841572   PNP   Girua Airport, Papua New Guinea
0.00020401550422167802   MGQ   Aden Adde International Airport, Somalia
0.00020373930085482346   CGY   Cagayan De Oro, Philippines
0.00020343816673305728   YTS   Timmins, Canada
0.00020336770565168816   GEG   Spokane Intl, United States
0.00020335991538064516   WNR   Windorah Airport, Australia
0.00020324987667815636   GBE   Sir Seretse Khama Intl, Botswana
0.00020298157825207613   ICT   Wichita Mid Continent, United States
0.00020290385075329067   CRD   Comodoro Rivadavia, Argentina
0.00020254887008231835   YFO   Flin Flon, Canada
0.0002020155642744671   SKP   Skopje, Macedonia
0.0002017931980573936   YUD   Umiujaq Airport, Canada
0.0002017509274726582   NTL   Newcastle Airport, Australia
0.0002015819190914852   BAV   Baotou Airport, China
0.00020157046422412825   CJC   El Loa, Chile
0.0002013018912342242   KIJ   Niigata, Japan
0.0002012687478565619   SID   Amilcar Cabral Intl, Cape Verde
0.00020117758193416316   SHG   Shungnak Airport, United States
0.0002011169010116919   ERM   Erechim Airport, Brazil
0.00020091902684675705   PHC   Port Harcourt Intl, Nigeria
0.00020036300208634927   AUK   Alakanuk Airport, United States
0.000200047597777856   TMR   Tamanrasset, Algeria
0.00020002649152724118   XNA   NW Arkansas Regional, United States
0.0001999396199918255   PLM   Sultan Mahmud Badaruddin Ii, Indonesia
0.0001998830419651413   THE   Senador Petronio Portella, Brazil
0.00019984575359734477   LNZ   Linz, Austria
0.00019971196105975629   BPS   Aeroporto de Porto Seguro, Brazil
0.00019970008556774443   MEH   Mehamn, Norway
0.00019968798526813952   TIV   Tivat, Montenegro
0.00019956525774411757   XAP   Chapeco, Brazil
0.00019937712507493921   DAU   Daru Airport, Papua New Guinea
0.00019934831066028213   MSN   Dane Co Rgnl Truax Fld, United States
0.00019913097384097205   VER   General Heriberto Jara Intl, Mexico
0.00019912634645937756   YCY   Clyde River, Canada
0.00019909497139164136   YQC   Quaqtaq Airport, Canada
0.00019901905618750591   CTG   Rafael Nunez, Colombia
0.0001989679738019788   KOC   Koumac, New Caledonia
0.0001987778291954543   DRG   Deering Airport, United States
0.0001987778291954543   BKC   Buckland Airport, United States
0.0001987778291954543   IAN   Bob Baker Memorial Airport, United States
0.0001987778291954543   ORV   Robert Curtis Memorial Airport, United States
0.00019839277750421046   XKS   Kasabonika Airport, Canada
0.00019829300395888058   UAH   Ua Huka Airport, French Polynesia
0.00019829300395888058   UAP   Ua Pou Airport, French Polynesia
0.00019808425508707728   BJM   Bujumbura Intl, Burundi
0.0001974951653090071   TWB   Toowoomba, Australia
0.0001973498145453598   HIJ   Hiroshima, Japan
0.0001967730097686351   RPR   Raipur, India
0.00019666219117790837   EBL   Erbil Intl, Iraq
0.0001966531465947771   DMD   Doomadgee Airport, Australia
0.00019626959593089334   OGX   Ouargla, Algeria
0.00019620548306742528   GLV   Golovin Airport, United States
0.00019593379906814138   TOH   Torres Airstrip, Vanuatu
0.00019552459208836508   YGV   Havre Saint-Pierre Airport, Canada
0.0001954956008485408   RMI   Rimini, Italy
0.00019499632463190568   NIM   Diori Hamani, Niger
0.00019462710028351593   BEU   Bedourie Airport, Australia
0.0001943887980960865   SSG   Malabo, Equatorial Guinea
0.00019438069042408451   PNR   Pointe Noire, Congo (Brazzaville)
0.00019373761615289214   AKV   Akulivik Airport, Canada
0.0001935922609510325   ZBR   Chah Bahar, Iran
0.0001935157088403226   TNK   Tununak Airport, United States
0.00019349756756380828   DOM   Melville Hall, Dominica
0.00019337682647162414   PVK   Aktio, Greece
0.00019337663998321712   HNS   Haines Airport, United States
0.00019337663998321712   SGY   Skagway Airport, United States
0.00019335806189087548   RTB   Juan Manuel Galvez Intl, Honduras
0.0001932749794526999   KLO   Kalibo, Philippines
0.00019322833884844685   KOT   Kotlik Airport, United States
0.00019312931112570674   CKY   Conakry, Guinea
0.000193128579270238   WMO   White Mountain Airport, United States
0.0001928599945509754   TNG   Ibn Batouta, Morocco
0.00019279801035952356   GOA   Genova Sestri, Italy
0.000192357154654223   GSO   Piedmont Triad, United States
0.0001923565563442667   HKN   Kimbe Airport, Papua New Guinea
0.00019171924078625088   BEW   Beira, Mozambique
0.00019143238330399088   YXS   Prince George, Canada
0.00019142209369594522   CCP   Carriel Sur Intl, Chile
0.00019138887065233226   HNH   Hoonah Airport, United States
0.00019137746187114968   NUP   Nunapitchuk Airport, United States
0.0001913544879609609   FEZ   Saiss, Morocco
0.0001909861957340212   AAL   Aalborg, Denmark
0.00019085434591864823   SVA   Savoonga Airport, United States
0.00019085434591864823   GAM   Gambell Airport, United States
0.0001906856888431769   TET   Tete Chingodzi, Mozambique
0.00019001731002892837   VSA   C P A Carlos Rovirosa Intl, Mexico
0.00018995846522288956   NSK   Alykel, Russia
0.00018990001496830937   KQA   Akutan Seaplane Base, United States
0.00018990001496830937   AKB   Atka Airport, United States
0.00018990001496830937   IKO   Nikolski Air Station, United States
0.00018972512441755765   OOK   Toksook Bay Airport, United States
0.0001892767113699588   YMH   Mary's Harbour Airport, Canada
0.0001891859951559805   HSL   Huslia Airport, United States
0.0001891668267113431   BLA   General Jose Antonio Anzoategui Intl, Venezuela
0.00018866492392650714   HBA   Hobart, Australia
0.00018865365528602802   SCM   Scammon Bay Airport, United States
0.0001879904836773819   CUU   General R Fierro Villalobos Intl, Mexico
0.00018776516753750465   YBK   Baker Lake, Canada
0.00018771666286691526   BZN   Gallatin Field, United States
0.00018743807527499707   NLA   Ndola, Zambia
0.0001873994664293211   IOS   Ilheus, Brazil
0.0001872804188396116   JPA   Presidente Castro Pinto, Brazil
0.00018658643593584502   INV   Inverness, United Kingdom
0.00018650015166884223   YSB   Sudbury, Canada
0.00018636203835943003   MKY   Mackay, Australia
0.0001862400767552139   SGO   St George Airport, Australia
0.00018606024600200966   JUB   Juba, South Sudan
0.0001858734249290927   OLF   LM Clayton Airport, United States
0.00018554420481064533   AZD   Yazd Shahid Sadooghi, Iran
0.00018533436619167388   ISG   Ishigaki, Japan
0.00018511052978191842   CEE   Cherepovets Airport, Russia
0.0001850001535225489   SGC   Surgut, Russia
0.00018496436947581878   XUZ   Xuzhou Guanyin Airport, China
0.0001849436756125162   BRC   San Carlos De Bariloche, Argentina
0.00018493119553461307   BBI   Bhubaneshwar, India
0.00018473378028268582   LGK   Langkawi Intl, Malaysia
0.00018434788547514613   SFA   Thyna, Tunisia
0.0001842834618146939   NDR   El Aroui Airport, Morocco
0.00018419004286856057   LZH   Bailian Airport, China
0.00018410239037649356   YUX   Hall Beach, Canada
0.00018408263077309583   ENE   H Hasan Aroeboesman, Indonesia
0.00018389577886250016   LEX   Blue Grass, United States
0.00018371913541812175   KSH   Shahid Ashrafi Esfahani, Iran
0.0001836947596539246   IGR   Cataratas Del Iguazu, Argentina
0.00018369030565363166   YKL   Schefferville, Canada
0.0001835225447683488   ECN   Ercan International Airport, Cyprus
0.0001833675193458656   LNE   Lonorore Airport, Vanuatu
0.0001832090002316201   MHH   Marsh Harbour, Bahamas
0.00018286567409461475   LXA   Lhasa-Gonggar, China
0.00018273090323651432   MYD   Malindi Airport, Kenya
0.0001826526390769211   EVE   Evenes, Norway
0.00018260482653705354   PKC   Yelizovo, Russia
0.00018241991829443405   JAN   Jackson Evers Intl, United States
0.0001823545363543088   CDR   Chadron Municipal Airport, United States
0.0001818372320795053   YLH   Lansdowne House Airport, Canada
0.00018177751953291695   KUN   Kaunas Intl, Lithuania
0.00018136701070486705   YTH   Thompson, Canada
0.0001811763552933141   ATT   Camp Mabry Austin City, United States
0.00018105193897790216   ROB   Monrovia Roberts Intl, Liberia
0.00018098006421764587   KOJ   Kagoshima, Japan
0.0001809480427203989   YHU   St Hubert, Canada
0.00018093551734653835   KMQ   Komatsu, Japan
0.00018090768262017513   ACK   Nantucket Mem, United States
0.00018086460997546216   ASM   Asmara Intl, Eritrea
0.00018081167667815835   WMN   Maroantsetra, Madagascar
0.00018008067289023566   PGA   Page Municipal Airport, United States
0.00017979793307680987   OVD   Asturias, Spain
0.00017960288455283328   YBX   Lourdes De Blanc Sablon Airport, Canada
0.00017945550590464502   PEE   Bolshoye Savino, Russia
0.0001793513206108653   MKW   Rendani, Indonesia
0.00017918544196027052   FRD   Friday Harbor Airport, United States
0.00017918544196027052   ESD   Orcas Island Airport, United States
0.00017917797680472086   BLI   Bellingham Intl, United States
0.0001791348220594592   IXB   Bagdogra, India
0.00017895513646609755   EGM   Sege Airport, Solomon Islands
0.0001789313270119225   RUR   Rurutu, French Polynesia
0.0001789313270119225   TUB   Tubuai, French Polynesia
0.00017887471544110554   GEL   Santo Angelo, Brazil
0.00017876669995555046   YHD   Dryden Rgnl, Canada
0.0001781649155755124   PDG   Minangkabau, Indonesia
0.00017816057352565033   SMK   St. Michael Airport, United States
0.00017778534490538119   MAS   Momote Airport, Papua New Guinea
0.0001777340898986974   NUX   Novyi Urengoy, Russia
0.0001776988145394436   SDR   Santander, Spain
0.00017768542512143156   HUH   Huahine, French Polynesia
0.00017748965661369497   TLT   Tuluksak Airport, United States
0.00017740166205303793   RIY   Riyan, Yemen
0.00017709600250579273   EGC   Roumaniere, France
0.0001770649443076987   KTB   Thorne Bay Seaplane Base, United States
0.00017684088492304445   KUK   Kasigluk Airport, United States
0.00017624220457167645   ABD   Abadan, Iran
0.00017563312380134924   CJB   Coimbatore, India
0.00017562302688088084   PLZ   Port Elizabeth Intl, South Africa
0.0001753960715945702   CZL   Mohamed Boudiaf Intl, Algeria
0.00017528038007623496   YIH   Yichang Airport, China
0.00017506359664472493   BES   Guipavas, France
0.00017487408261058715   CLJ   Cluj Napoca, Romania
0.00017391935933663095   ZLT   La Tabatière Airport, Canada
0.000173811534241706   CID   Cedar Rapids, United States
0.000173811534241706   MLI   Quad City Intl, United States
0.0001736713856027398   PSP   Palm Springs Intl, United States
0.0001736364066845121   VAK   Chevak Airport, United States
0.0001736364066845121   HPB   Hooper Bay Airport, United States
0.00017353637596998584   FAR   Hector International Airport, United States
0.00017323365012496988   APW   Faleolo Intl, Samoa
0.00017308698242077828   KAL   Kaltag Airport, United States
0.00017308698242077828   NUL   Nulato Airport, United States
0.00017302398512482223   CGP   Shah Amanat Intl, Bangladesh
0.0001729774242251339   NYK   Nanyuki Civil Airport, Kenya
0.0001729774242251339   UAS   Samburu South Airport, Kenya
0.0001729774242251339   MRE   Mara Serena Airport, Kenya
0.00017287624114791552   IXJ   Jammu, India
0.0001722325522773124   ASB   Ashgabat, Turkmenistan
0.00017221201381735718   NYU   Bagan Intl, Burma
0.00017196083021292193   FSD   Sioux Falls, United States
0.00017181523125197305   DRS   Dresden, Germany
0.00017168278157341248   KNG   Kaimana, Indonesia
0.00017166860771299493   ULP   Quilpie Airport, Australia
0.00017137800509107976   ROS   Rosario, Argentina
0.0001712071162551529   THL   Tachileik, Burma
0.0001711169489508423   PWM   Portland Intl Jetport, United States
0.00017104704058143515   NQY   St Mawgan, United Kingdom
0.00017083836175647328   PHE   Port Hedland Intl, Australia
0.0001707932850149534   RBR   PlÃ¡cido de Castro, Brazil
0.00017038754874967128   IOM   Isle Of Man, Isle of Man
0.0001702539999018984   BVG   Berlevag, Norway
0.000170246917162111   SLQ   Sleetmute Airport, United States
0.00016993105904205522   UKB   Kobe, Japan
0.0001699203708318649   SHH   Shishmaref Airport, United States
0.0001698606830743076   MID   Licenciado Manuel Crescencio Rejon Int, Mexico
0.00016982417132396771   ATD   Uru Harbour Airport, Solomon Islands
0.00016967231320583534   PQS   Pilot Station Airport, United States
0.0001694567827788803   YNC   Wemindji Airport, Canada
0.00016918623700190404   YZS   Fairmont Hot Springs, Canada
0.00016898969843386476   KRS   Kjevik, Norway
0.00016897205574041855   KSA   Kosrae, Micronesia
0.00016888920611585282   LSC   La Florida, Chile
0.00016875351090809974   MUB   Maun, Botswana
0.00016871978248917573   SLW   Plan De Guadalupe Intl, Mexico
0.00016840052039678293   LBL   Liberal Muni, United States
0.0001683646007484814   YYJ   Victoria Intl, Canada
0.00016834821042803683   KMI   Miyazaki, Japan
0.00016819496039607618   CZH   Municipal, Belize
0.00016804901674750462   MQX   Makale, Ethiopia
0.00016797309542000564   ULB   Uléi Airport, Vanuatu
0.00016791663878261117   AHB   Abha, Saudi Arabia
0.0001678421136837165   TVY   Dawei Airport, Burma
0.0001678287299792175   MFR   Rogue Valley Intl Medford, United States
0.0001677423633334514   PAT   Patna, India
0.00016762787396274202   OLC   Senadora Eunice Micheles Airport, Brazil
0.00016753289321203176   PJM   Puerto Jimenez Airport, Costa Rica
0.00016720734379840375   ZTB   Tête-à-la-Baleine Airport, Canada
0.00016716275638828956   CYS   Cheyenne Rgnl Jerry Olson Fld, United States
0.00016715724498648327   BDA   Bermuda Intl, Bermuda
0.00016693525091169214   BUZ   Bushehr, Iran
0.0001668611585988118   PIA   Peoria Regional, United States
0.000166711379233519   KEW   Keewaywin, Canada
0.00016666447306253003   CJS   Abraham Gonzalez Intl, Mexico
0.00016661124785083084   CKS   Carajas Airport, Brazil
0.00016652921977309865   SBW   Sibu, Malaysia
0.0001658872166341281   VLN   Arturo Michelena Intl, Venezuela
0.0001657259810999369   EYW   Key West Intl, United States
0.00016568419369230507   CNP   Neerlerit Inaat Airport, Greenland
0.00016556390117849421   YUY   Rouyn Noranda, Canada
0.00016519095713035686   BAQ   Ernesto Cortissoz, Colombia
0.0001651605026244723   XQP   La Managua, Costa Rica
0.00016490152253547757   YIO   Pond Inlet, Canada
0.00016486082655861107   EIS   Terrance B Lettsome Intl, British Virgin Islands
0.00016485491522129863   YSY   Sachs Harbour, Canada
0.00016471467143155906   LRH   La Rochelle-Ile de Re, France
0.0001646609350213002   USH   Ushuaia Malvinas Argentinas, Argentina
0.00016443420998668134   ACR   Araracuara Airport, Colombia
0.00016438571350302822   ZEM   Eastmain River Airport, Canada
0.00016430912993722115   MOU   Mountain Village Airport, United States
0.00016430705484151185   KHG   Kashi, China
0.00016429660942590875   HAH   Prince Said Ibrahim, Comoros
0.00016427392933667076   RNS   St Jacques, France
0.00016407920589477928   MRA   Misratah Airport, Libya
0.0001640550758287506   JZH   Jiuzhaigou Huanglong, China
0.00016397952097230422   PNK   Supadio, Indonesia
0.0001636168243320779   ASR   Erkilet, Turkey
0.00016349820857385072   BIQ   Anglet, France
0.00016349299433627266   SGF   Springfield Branson Natl, United States
0.00016340100781584208   TXN   Tunxi International Airport, China
0.00016338692838237066   IQT   Coronel Francisco Secada Vignetta Intl, Peru
0.00016336057233262626   MVY   Martha\\'s Vineyard, United States
0.00016333677529307907   COS   City Of Colorado Springs Muni, United States
0.00016321138601089704   LKN   Leknes Airport, Norway
0.00016288051219993764   RGL   Rio Gallegos, Argentina
0.00016287391306728471   LEI   Almeria, Spain
0.00016278322973865036   YPJ   Aupaluk Airport, Canada
0.0001627780976010135   YPO   Peawanuck Airport, Canada
0.0001625423803153609   BHO   Bhopal, India
0.00016254110608200623   YNJ   Yanji Airport, China
0.00016215214625644222   LCR   La Chorrera Airport, Colombia
0.00016191697881125735   MIG   Mianyang Airport, China
0.00016159269956788968   LBD   Khudzhand Airport, Tajikistan
0.00016116697690576643   YMT   Chapais Airport, Canada
0.00016115408885158722   SVB   Sambava, Madagascar
0.0001608434401596453   LPQ   Luang Phabang Intl, Laos
0.00016083917465227983   FWA   Fort Wayne, United States
0.00016072257113982578   WIN   Winton Airport, Australia
0.00016065256506933166   KLX   Kalamata, Greece
0.00016057211689632906   SBN   South Bend Rgnl, United States
0.00016055883985241693   TIH   Tikehau, French Polynesia
0.00016036187669563935   FLS   Flinders Island Airport, Australia
0.00016023226802667535   MZT   General Rafael Buelna Intl, Mexico
0.00016020927431613033   BON   Flamingo, Netherlands Antilles
0.00016001299302743774   YVO   Val D Or, Canada
0.00015996781651621224   JQE   Jaqué Airport, Panama
0.00015996781651621224   SIC   Sinop Airport, Turkey
0.00015996781651621224   ACU   Achutupo Airport, Panama
0.00015996781651621224   GHE   Garachine Airport, Panama
0.00015984778701946733   YVZ   Deer Lake Airport, Canada
0.00015964669492556392   RNL   Rennell/Tingoa Airport, Solomon Islands
0.00015964669492556392   BNY   Bellona, Solomon Islands
0.0001594418591547085   YHA   Port Hope Simpson Airport, Canada
0.00015919385365533074   TRS   Ronchi Dei Legionari, Italy
0.0001591892528526601   LOD   Longana Airport, Vanuatu
0.00015914807281609513   IRG   Lockhart River Airport, Australia
0.00015912477242301814   LLW   Kamuzu Intl, Malawi
0.0001590877790354192   MSO   Missoula Intl, United States
0.00015897236065293363   LKG   Lokichoggio Airport, Kenya
0.00015862156563169818   NTG   Nantong Airport, China
0.00015861915808299616   EEK   Eek Airport, United States
0.00015861915808299616   KWT   Kwethluk Airport, United States
0.00015861915808299616   WTL   Tuntutuliak Airport, United States
0.00015861915808299616   NME   Nightmute Airport, United States
0.00015791575519030635   BUC   Burketown Airport, Australia
0.00015760190788394673   NNM   Naryan-Mar, Russia
0.00015752030124032267   TLA   Teller Airport, United States
0.00015733799296932527   DOK   Donetsk Intl, Ukraine
0.00015704565539453966   UET   Quetta, Pakistan
0.00015698718169141246   YUT   Repulse Bay, Canada
0.00015692534609129834   JNN   Nanortalik Heliport, Greenland
0.0001567749509470997   PPW   Papa Westray Airport, United Kingdom
0.00015671557550420102   PNS   Pensacola Rgnl, United States
0.0001567066717066378   TBU   Fua Amotu Intl, Tonga
0.0001566405782559873   YSM   Fort Smith, Canada
0.000156547753906694   KBR   Sultan Ismail Petra, Malaysia
0.00015643428683999154   POL   Pemba, Mozambique
0.00015640449643403024   MMK   Murmansk, Russia
0.00015634320459818716   GUW   Atyrau, Kazakhstan
0.00015632466046787148   NAG   Dr Ambedkar Intl, India
0.00015625923962149597   PBM   Johan A Pengel Intl, Suriname
0.00015618733934810687   SJJ   Sarajevo, Bosnia and Herzegovina
0.00015609567219307548   RJK   Rijeka, Croatia
0.00015608561236236902   DUD   Dunedin, New Zealand
0.0001559971014977727   MXH   Moro Airport, Papua New Guinea
0.00015592351873802511   MST   Maastricht, Netherlands
0.0001559220569484908   KKN   Hoybuktmoen, Norway
0.00015586888305624117   VRA   Juan Gualberto Gomez Intl, Cuba
0.0001557524857467861   PUU   Tres De Mayo, Colombia
0.00015569479655385874   NOC   Ireland West Knock, Ireland
0.0001554836785167939   PMR   Palmerston North, New Zealand
0.00015517798960841713   RNA   Ulawa Airport, Solomon Islands
0.00015517798960841713   NNB   Santa Ana Airport, Solomon Islands
0.00015502917876408605   IXA   Agartala, India
0.00015497500713326936   YTY   Yangzhou Taizhou Airport, China
0.00015493271839756815   YAB   Arctic Bay Airport, Canada
0.00015490084369189507   RSJ   Rosario Seaplane Base, United States
0.00015467785845075106   JSI   Alexandros Papadiamantis, Greece
0.00015459674497809975   PTJ   Portland Airport, Australia
0.00015443499211250373   GDX   Sokol, Russia
0.00015441083896951344   ARI   Chacalluta, Chile
0.000154400601433149   SNP   St Paul Island, United States
0.000154400601433149   STG   St. George Airport, United States
0.00015435857581260035   YPL   Pickle Lake, Canada
0.00015425893034993815   IXC   Chandigarh, India
0.0001541857346848179   DAV   Enrique Malek Intl, Panama
0.00015411291704677376   SPN   Francisco C Ada Saipan Intl, Northern Mariana Islands
0.00015385773176613768   YGH   Fort Good Hope, Canada
0.00015383548035724124   LYG   Lianyungang Airport, China
0.0001538223803088679   SOC   Adi Sumarmo Wiryokusumo, Indonesia
0.00015356103846768078   YNO   North Spirit Lake Airport, Canada
0.00015340913554082153   IMF   Imphal, India
0.0001533855088043992   HSV   Huntsville International Airport-Carl T Jones Field, United States
0.00015337194914560122   FAE   Vagar, Faroe Islands
0.00015308950188062487   MLH   Bale Mulhouse, France
0.0001527611608296562   MYT   Myitkyina, Burma
0.00015275916085367525   KMJ   Kumamoto, Japan
0.00015254482071220258   RCM   Richmond, Australia
0.00015235483818953603   YGR   Iles De La Madeleine, Canada
0.00015223651540663418   GBT   Gorgan Airport, Iran
0.00015211887421724815   LNV   Londolovit Airport, Papua New Guinea
0.00015207454318058816   YGL   La Grande Riviere, Canada
0.0001519718758314082   WLS   Wallis, Wallis and Futuna
0.00015195994710356846   FPO   Grand Bahama Intl, Bahamas
0.00015188079155918247   AES   Vigra, Norway
0.00015187291684858414   KIF   Kingfisher Lake Airport, Canada
0.00015160193378898723   BJX   Guanajuato Intl, Mexico
0.00015147892731379292   YIW   Yiwu Airport, China
0.0001513312651887149   MYJ   Matsuyama, Japan
0.00015131229150905687   YQQ   Comox, Canada
0.00015112080765213625   BQL   Boulia Airport, Australia
0.000151102558934735   UVF   Hewanorra Intl, Saint Lucia
0.00015101963348677902   SJP   Sao Jose Do Rio Preto, Brazil
0.00015060827124637572   NWI   Norwich, United Kingdom
0.00015060769621569228   SLY   Salekhard Airport, Russia
0.00015048503485946157   OKJ   Okayama, Japan
0.00015030826876053952   YAC   Cat Lake Airport, Canada
0.00015026591255425212   DIR   Dire Dawa Intl, Ethiopia
0.0001500781521526558   JNS   Narsaq Heliport, Greenland
0.00014983667222650897   BHY   Beihai Airport, China
0.00014983607469607808   KTA   Karratha, Australia
0.00014978540776136405   YHO   Hopedale Airport, Canada
0.0001496873351243415   GDV   Dawson Community Airport, United States
0.00014967160049326076   THU   Thule Air Base, Greenland
0.00014965132716477066   DLG   Dillingham, United States
0.00014941032613272997   MJF   Kjaerstad, Norway
0.00014939657388899572   SLU   George F L Charles, Saint Lucia
0.0001491623356843256   SSJ   Stokka, Norway
0.0001489002009547576   FBA   Fonte Boa Airport, Brazil
0.00014887678870106837   SAV   Savannah Hilton Head Intl, United States
0.00014881157662472875   CZM   Cozumel Intl, Mexico
0.00014871909203113744   BQS   Ignatyevo, Russia
0.00014863785050651135   NKC   Nouakchott, Mauritania
0.00014861716967982664   SJL   Sao Gabriel da Cachoeira Airport, Brazil
0.00014856249782407046   ZFN   Tulita, Canada
0.0001484771369978858   DIE   Arrachart, Madagascar
0.0001481111124751558   NJC   Nizhnevartovsk, Russia
0.00014783120523663342   MAU   Maupiti, French Polynesia
0.0001477968330215741   CIJ   Heroes Del Acre, Bolivia
0.00014766454035307906   TTE   Sultan Babullah, Indonesia
0.00014762049470687654   ARC   Arctic Village Airport, United States
0.00014762049470687654   VEE   Venetie Airport, United States
0.00014752444457586945   JAC   Jackson Hole Airport, United States
0.0001475047705724604   PKN   Iskandar, Indonesia
0.00014724883649008092   ZPB   Sachigo Lake Airport, Canada
0.00014721859501747487   BGW   Baghdad International Airport, Iraq
0.00014690529863263093   PBJ   Tavie Airport, Vanuatu
0.00014684139906935003   VHM   Vilhelmina, Sweden
0.00014666275383896622   BCD   Bacolod, Philippines
0.00014626061188605446   ATK   Atqasuk Edward Burnell Sr Memorial Airport, United States
0.00014626061188605446   AIN   Wainwright Airport, United States
0.00014607604406095527   CPO   Copiapo, Chile
0.00014585060247960748   GDT   JAGS McCartney International Airport, Turks and Caicos Islands
0.00014563527430793457   MDQ   Mar Del Plata, Argentina
0.00014557773486636164   KNQ   Kone, New Caledonia
0.00014557773486636164   MEE   Mare, New Caledonia
0.00014557773486636164   TOU   Touho, New Caledonia
0.00014557773486636164   ILP   Île des Pins Airport, New Caledonia
0.0001454342990259655   YQD   The Pas Airport, Canada
0.00014530310342668676   PCL   Cap Fap David Abenzur Rengifo Intl, Peru
0.00014530310342668676   TPP   Cadete Guillermo Del Castillo Paredes, Peru
0.00014485761899846007   LYC   Lycksele, Sweden
0.00014459529931981605   TKX   Takaroa, French Polynesia
0.00014449599187060216   MIR   Habib Bourguiba Intl, Tunisia
0.00014433472221093171   PQC   Duong Dong Airport, Vietnam
0.0001442723539287102   XTG   Thargomindah Airport, Australia
0.00014426894943769016   YER   Fort Severn Airport, Canada
0.00014421084791326952   ROK   Rockhampton, Australia
0.00014414857019419807   SEN   Southend, United Kingdom
0.0001438631041477999   LXR   Luxor Intl, Egypt
0.00014380612782407214   TBG   Tabubil Airport, Papua New Guinea
0.00014380612782407214   TIZ   Tari Airport, Papua New Guinea
0.00014375031948181676   USK   Usinsk, Russia
0.00014346690909327486   MCK   McCook Regional Airport, United States
0.00014321178804186342   AKJ   Asahikawa, Japan
0.00014317277321591987   GGW   Wokal Field Glasgow International Airport, United States
0.00014316501727915565   XFN   Xiangfan Airport, China
0.00014316111119979156   EDL   Eldoret Intl, Kenya
0.00014311475853128   LWO   Lviv Intl, Ukraine
0.0001430512573027079   YBC   Baie Comeau, Canada
0.00014303937846501982   KVA   Megas Alexandros Intl, Greece
0.00014301757219609324   TRO   Taree Airport, Australia
0.00014298020823011053   SVU   Savusavu Airport, Fiji
0.00014298020823011053   TVU   Matei Airport, Fiji
0.0001426692234918687   JUL   Juliaca, Peru
0.000142573670383458   XCH   Christmas Island, Christmas Island
0.0001425685156216472   FJR   Fujairah Intl, United Arab Emirates
0.00014254324071157504   UNG   Kiunga Airport, Papua New Guinea
0.00014254295881995226   GLF   Golfito, Costa Rica
0.0001425417432581976   SKD   Samarkand, Uzbekistan
0.0001424914313481149   TGM   Transilvania Targu Mures, Romania
0.00014248185621925752   ABE   Lehigh Valley Intl, United States
0.00014246552062175972   MQL   Mildura Airport, Australia
0.0001424484180393246   KVL   Kivalina Airport, United States
0.00014239698541832125   YQK   Kenora, Canada
0.0001423714826336708   HTA   Kadala, Russia
0.0001423629876772462   POP   Gregorio Luperon Intl, Dominican Republic
0.00014221844585131856   SCU   Antonio Maceo Intl, Cuba
0.00014221104208805662   PSC   Tri Cities Airport, United States
0.0001420746124881211   LNY   Lanai, United States
0.0001416970114255913   ROO   Rondonopolis Airport, Brazil
0.00014159612662483759   BTU   Bintulu, Malaysia
0.00014152423298933287   PSU   Pangsuma Airport, Indonesia
0.00014132458057783913   LLU   Alluitsup Paa Heliport, Greenland
0.0001411648406154125   ISP   Long Island Mac Arthur, United States
0.00014105556502792154   HOR   Horta, Portugal
0.00014103449093871287   TVC   Cherry Capital Airport, United States
0.0001410154393207036   LLI   Lalibella, Ethiopia
0.00014080874543808162   HTI   Hamilton Island Airport, Australia
0.00014054922065991223   IPN   Usiminas, Brazil
0.00014049044602348562   MOZ   Moorea, French Polynesia
0.0001404438588941051   TMP   Tampere Pirkkala, Finland
0.00014043811047200215   MJT   Mitilini, Greece
0.00014042873307526768   YSK   Sanikiluaq Airport, Canada
0.0001401217243884719   ETH   Eilat, Israel
0.0001400243336387629   LOK   Lodwar, Kenya
0.0001398883677918624   CHX   Cap Manuel Nino Intl, Panama
0.0001398883677918624   SAX   Sambu Airport, Panama
0.0001398883677918624   OTD   Contadora Airport, Panama
0.0001398883677918624   BFQ   Bahia Piña Airport, Panama
0.0001398883677918624   PYC   Playon Chico, Panama
0.0001398883677918624   PUE   Puerto Obaldia, Panama
0.0001396215597954783   ISC   ISLES OF SCILLY, United Kingdom
0.00013961137291623065   LIG   Bellegarde, France
0.0001395225294568954   ACA   General Juan N Alvarez Intl, Mexico
0.00013950164377566542   GSM   Gheshm Airport, Iran
0.00013948965749674582   MEA   Macaé Airport, Brazil
0.00013948653128143684   CAE   Columbia Metropolitan, United States
0.00013944588396798153   DNH   Dunhuang Airport, China
0.00013944359001223427   TGO   Tongliao Airport, China
0.00013929454981343204   REN   Orenburg, Russia
0.0001390765764029292   CHA   Lovell Fld, United States
0.00013906979742878394   KAW   Kawthoung Airport, Burma
0.0001390568964891207   JEG   Aasiaat, Greenland
0.00013903315678831356   IMP   Prefeito Renato Moreira, Brazil
0.00013890637633533196   PBG   Plattsburgh Intl, United States
